id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-169000000,35342,61,-0.067603627211458,0.5274460981268739,3.510657894440981,3.9285913637980463,0.14500178908775146
contig-170000000,35167,71,-0.0838265466578889,0.659254414650098,16.012243758488943,-3.2817654359254194,-1.8695427404626375
contig-174000000,34360,51,-0.0690402410454259,0.443306169965076,-4.50234302071409,2.610984331328828,1.379399323088116
contig-1809000000,17522,41,-0.07313275286281401,0.37410113000799,-12.068370604767026,-5.759882769153471,4.092404211206782
contig-181000000,45778,32,-0.0811119830793341,0.322403774738958,-14.592857134580553,2.199273421263019,-9.838078441353721
contig-1834000000,14773,71,-0.0824849600778654,0.647803425167535,16.112446802976166,-4.096403569745457,-3.2976459864651884
contig-184000000,32919,61,-0.0663801981776238,0.494456089188615,0.3600025701147303,4.124572898004139,0.451226241555298
contig-186000000,32705,51,-0.070039953683262,0.44879987769454205,-3.7233967581648395,2.9838523017020675,2.068155313889591
contig-187000000,32592,41,-0.0733329166442882,0.376012518409426,-11.831749596342569,-5.30751513901301,5.325436282849477
contig-188000000,32586,51,-0.069560706016687,0.45000920640765996,-4.130497079606742,3.6838168336826933,1.1197912443317228
contig-19000000,95324,51,-0.0683342843706051,0.448334102639419,-4.172655260936889,2.1662735679924,1.6589430648790429
contig-193000000,32344,61,-0.0678993858771482,0.511532278011378,2.2653032374916084,5.439548869842743,0.1905042815701239
contig-194000000,32345,51,-0.0698702931057837,0.454413356005565,-3.4307456141750072,3.4639238032225816,1.4134662388279189
contig-196000000,32285,32,-0.0797362302611863,0.33210469258169395,-13.714717114831412,2.6256543646812247,-8.295569347709877
contig-1960000000,57315,61,-0.0674359433596626,0.519933699729565,2.961559050633503,4.957996581533585,-0.535826714842726
contig-197000000,31768,71,-0.0821522044514325,0.651473180559053,15.91563738659958,-3.295691284028274,-1.3306390624975057
contig-2000000,166061,51,-0.0688998497106922,0.44326482437176706,-4.488002326679968,2.953107076243262,1.3451740920527433
contig-20000000,94221,31,-0.0809534049961367,0.32586153829825604,-16.574370252750853,-4.002476556231143,-4.523234481699399
contig-201000000,31616,61,-0.06692671310197901,0.505535172064777,1.4560845926514985,5.318906654926513,0.4653942715697112
contig-202000000,31333,61,-0.0670663185893717,0.49848402642581296,1.1899698599929767,3.249756536313704,-1.3638552680260596
contig-203000000,31251,51,-0.0685069480616386,0.443953793478609,-4.800419546237742,1.5676443468541106,1.6498294254744956
contig-206000000,32847,32,-0.0817350785885899,0.31960300788504303,-14.486342314955596,2.763011624135827,-9.563555303074763
contig-2093000000,6502,41,-0.0707867176873791,0.39080282989849296,-11.029481575342698,-6.403263478976528,5.500402740263118
contig-21000000,93427,51,-0.0686242546692939,0.455157502649127,-3.3967653970115776,3.3092735422425457,1.5822821038458643
contig-213000000,30371,32,-0.0813174858849556,0.324190839946001,-14.218977292129075,2.3694582440648184,-9.221731286215691
contig-2158000000,32094,71,-0.08421984302405201,0.654577179535116,15.598670597271985,-3.3231582682796756,-1.6511369012954917
contig-218000000,29823,61,-0.0667312762457446,0.512959796130503,2.32355851034129,4.088883809623838,0.5583706355501854
contig-221000000,29535,32,-0.0807542760612479,0.32415777890638203,-13.851863893553453,1.8797124955582016,-9.55920800264895
contig-224000000,29272,41,-0.0735501104415119,0.3770155780267829,-11.7851763485469,-5.235284564834367,3.6197122778456143
contig-227000000,29044,32,-0.0815354161554599,0.327158793554607,-13.926692046130594,3.0723920642333504,-9.151845861636732
contig-2270000000,11633,11,-0.0736145208694361,0.543625891859366,5.6454559863536735,7.845350889227458,2.19487034234594
contig-2294000000,81475,61,-0.0668472876077797,0.49834918686713703,1.0264385494614787,4.644147060518826,-0.09118734616073798
contig-233000000,28426,71,-0.0819548921158584,0.648561176387814,15.245794310721763,-2.8762024331531517,-0.9627337909665894
contig-2338000000,21572,71,-0.0827065271461505,0.651075468199518,15.694360247442715,-2.837686203427043,-2.2626029087928576
contig-235000000,28033,61,-0.0666448333985955,0.509756358577391,1.4773017756209228,4.73977644554528,0.4202554754501979
contig-245000000,44841,61,-0.067095383718277,0.504248344149328,1.3644296218959207,4.558272215103795,-0.48594467889922444
contig-2471000000,52776,71,-0.08329034558406,0.649954524783993,15.463053442771406,-3.284067287824727,-1.338546882094146
contig-250000000,26851,61,-0.0674334498880007,0.5050463669881939,1.4571987813226643,4.7221520753291815,-0.05585582537004517
contig-254000000,26680,41,-0.0724348553870301,0.382871064467766,-11.054772009990167,-4.280680380386169,4.98168803462155
contig-2617000000,63317,41,-0.0741767625456634,0.3699954198714411,-12.091985159877936,-5.153890805800087,3.3361907199166536
contig-264000000,25789,32,-0.0799442563288868,0.33068362480127195,-14.324430953754975,2.4441881984907217,-9.173798670824752
contig-268000000,25382,61,-0.0670757257733735,0.508391773697896,1.642349433274172,3.9004682382405353,-0.09640193091133266
contig-27000000,83088,51,-0.0700927489161219,0.45261650298478706,-3.348747416889446,4.475462198771875,1.3054252084525813
contig-270000000,25278,61,-0.0668242078104158,0.515309755518633,2.656023376977197,4.27600866184315,0.2203085647529881
contig-275000000,25021,31,-0.0804903094058976,0.325566524119739,-16.50629052109582,-4.476935022012888,-5.567954875223595
